state,date,confirmed_cases
NSW,2021-10-03,981
NSW,2021-10-04,959
NSW,2021-10-05,978
NSW,2021-10-06,959
NSW,2021-10-07,911
NSW,2021-10-08,856
NSW,2021-10-09,812
NSW,2021-10-10,794
NSW,2021-10-11,769
NSW,2021-10-12,766
NSW,2021-10-13,716
NSW,2021-10-14,711
NSW,2021-10-15,677
NSW,2021-10-16,652
NSW,2021-10-17,619
NSW,2021-10-18,606
NSW,2021-10-19,589
NSW,2021-10-20,552
NSW,2021-10-21,523
NSW,2021-10-22,482
NSW,2021-10-23,469
NSW,2021-10-24,480
NSW,2021-10-25,474
NSW,2021-10-26,457
NSW,2021-10-27,418
NSW,2021-10-28,381
NSW,2021-10-29,363
NSW,2021-10-30,343
NSW,2021-10-31,340
NSW,2021-11-01,349
NSW,2021-11-02,333
NSW,2021-11-03,309
NSW,2021-11-04,302
NSW,2021-11-05,285
NSW,2021-11-06,270
NSW,2021-11-07,269
NSW,2021-11-08,264
NSW,2021-11-09,254
NSW,2021-11-10,235
NSW,2021-11-11,228
NSW,2021-11-12,236
NSW,2021-11-13,228
NSW,2021-11-14,224
NSW,2021-11-15,216
NSW,2021-11-16,210
NSW,2021-11-17,207
NSW,2021-11-18,199
NSW,2021-11-19,196
NSW,2021-11-20,191
NSW,2021-11-21,192
NSW,2021-11-22,202
NSW,2021-11-23,196
NSW,2021-11-24,195
NSW,2021-11-25,191
NSW,2021-11-26,185
NSW,2021-11-27,174
NSW,2021-11-28,165
NSW,2021-11-29,170
NSW,2021-11-30,160
NSW,2021-12-01,154
NSW,2021-12-02,144
NSW,2021-12-03,140
NSW,2021-12-04,139
NSW,2021-12-05,148
NSW,2021-12-06,152
NSW,2021-12-07,155
NSW,2021-12-08,151
NSW,2021-12-09,151
NSW,2021-12-10,158
NSW,2021-12-11,150
NSW,2021-12-12,156
NSW,2021-12-13,171
NSW,2021-12-14,168
NSW,2021-12-15,166
NSW,2021-12-16,192
NSW,2021-12-17,215
NSW,2021-12-18,206
NSW,2021-12-19,227
NSW,2021-12-20,261
NSW,2021-12-21,284
NSW,2021-12-22,302
NSW,2021-12-23,347
NSW,2021-12-24,382
NSW,2021-12-25,388
NSW,2021-12-26,458
NSW,2021-12-27,521
NSW,2021-12-28,557
NSW,2021-12-29,625
NSW,2021-12-30,747
NSW,2021-12-31,832
VIC,2021-10-03,476
VIC,2021-10-04,498
VIC,2021-10-05,517
VIC,2021-10-06,525
VIC,2021-10-07,564
VIC,2021-10-08,620
VIC,2021-10-09,578
VIC,2021-10-10,609
VIC,2021-10-11,677
VIC,2021-10-12,675
VIC,2021-10-13,705
VIC,2021-10-14,706
VIC,2021-10-15,695
VIC,2021-10-16,798
VIC,2021-10-17,777
VIC,2021-10-18,851
VIC,2021-10-19,784
VIC,2021-10-20,786
VIC,2021-10-21,779
VIC,2021-10-22,784
VIC,2021-10-23,770
VIC,2021-10-24,787
VIC,2021-10-25,802
VIC,2021-10-26,817
VIC,2021-10-27,748
VIC,2021-10-28,746
VIC,2021-10-29,738
VIC,2021-10-30,747
VIC,2021-10-31,702
VIC,2021-11-01,699
VIC,2021-11-02,667
VIC,2021-11-03,657
VIC,2021-11-04,660
VIC,2021-11-05,634
VIC,2021-11-06,651
VIC,2021-11-07,568
VIC,2021-11-08,556
VIC,2021-11-09,579
VIC,2021-11-10,471
VIC,2021-11-11,457
VIC,2021-11-12,426
VIC,2021-11-13,405
VIC,2021-11-14,394
VIC,2021-11-15,378
VIC,2021-11-16,394
VIC,2021-11-17,357
VIC,2021-11-18,337
VIC,2021-11-19,330
VIC,2021-11-20,312
VIC,2021-11-21,317
VIC,2021-11-22,316
VIC,2021-11-23,303
VIC,2021-11-24,284
VIC,2021-11-25,310
VIC,2021-11-26,308
VIC,2021-11-27,299
VIC,2021-11-28,283
VIC,2021-11-29,300
VIC,2021-11-30,305
VIC,2021-12-01,299
VIC,2021-12-02,288
VIC,2021-12-03,289
VIC,2021-12-04,288
VIC,2021-12-05,299
VIC,2021-12-06,310
VIC,2021-12-07,297
VIC,2021-12-08,303
VIC,2021-12-09,315
VIC,2021-12-10,313
VIC,2021-12-11,323
VIC,2021-12-12,310
VIC,2021-12-13,323
VIC,2021-12-14,364
VIC,2021-12-15,365
VIC,2021-12-16,384
VIC,2021-12-17,386
VIC,2021-12-18,384
VIC,2021-12-19,392
VIC,2021-12-20,406
VIC,2021-12-21,392
VIC,2021-12-22,394
VIC,2021-12-23,398
VIC,2021-12-24,397
VIC,2021-12-25,361
VIC,2021-12-26,374
VIC,2021-12-27,368
VIC,2021-12-28,361
VIC,2021-12-29,397
VIC,2021-12-30,395
VIC,2021-12-31,428
QLD,2021-10-03,15
QLD,2021-10-04,15
QLD,2021-10-05,16
QLD,2021-10-06,15
QLD,2021-10-07,17
QLD,2021-10-08,19
QLD,2021-10-09,21
QLD,2021-10-10,19
QLD,2021-10-11,18
QLD,2021-10-12,17
QLD,2021-10-13,17
QLD,2021-10-14,17
QLD,2021-10-15,18
QLD,2021-10-16,18
QLD,2021-10-17,19
QLD,2021-10-18,18
QLD,2021-10-19,15
QLD,2021-10-20,11
QLD,2021-10-21,11
QLD,2021-10-22,14
QLD,2021-10-23,17
QLD,2021-10-24,16
QLD,2021-10-25,15
QLD,2021-10-26,15
QLD,2021-10-27,13
QLD,2021-10-28,12
QLD,2021-10-29,14
QLD,2021-10-30,12
QLD,2021-10-31,11
QLD,2021-11-01,11
QLD,2021-11-02,11
QLD,2021-11-03,12
QLD,2021-11-04,9
QLD,2021-11-05,7
QLD,2021-11-06,7
QLD,2021-11-07,9
QLD,2021-11-08,10
QLD,2021-11-09,12
QLD,2021-11-10,12
QLD,2021-11-11,12
QLD,2021-11-12,14
QLD,2021-11-13,15
QLD,2021-11-14,14
QLD,2021-11-15,14
QLD,2021-11-16,13
QLD,2021-11-17,12
QLD,2021-11-18,10
QLD,2021-11-19,6
QLD,2021-11-20,7
QLD,2021-11-21,4
QLD,2021-11-22,4
QLD,2021-11-23,4
QLD,2021-11-24,3
QLD,2021-11-25,3
QLD,2021-11-26,5
QLD,2021-11-27,5
QLD,2021-11-28,4
QLD,2021-11-29,7
QLD,2021-11-30,12
QLD,2021-12-01,14
QLD,2021-12-02,14
QLD,2021-12-03,16
QLD,2021-12-04,21
QLD,2021-12-05,25
QLD,2021-12-06,29
QLD,2021-12-07,33
QLD,2021-12-08,34
QLD,2021-12-09,27
QLD,2021-12-10,25
QLD,2021-12-11,29
QLD,2021-12-12,28
QLD,2021-12-13,28
QLD,2021-12-14,25
QLD,2021-12-15,28
QLD,2021-12-16,30
QLD,2021-12-17,42
QLD,2021-12-18,51
QLD,2021-12-19,57
QLD,2021-12-20,66
QLD,2021-12-21,75
QLD,2021-12-22,80
QLD,2021-12-23,94
QLD,2021-12-24,111
QLD,2021-12-25,123
QLD,2021-12-26,100
QLD,2021-12-27,72
QLD,2021-12-28,89
QLD,2021-12-29,93
QLD,2021-12-30,103
QLD,2021-12-31,127
WA,2021-10-03,2
WA,2021-10-04,2
WA,2021-10-05,4
WA,2021-10-06,6
WA,2021-10-07,6
WA,2021-10-08,6
WA,2021-10-09,4
WA,2021-10-10,4
WA,2021-10-11,4
WA,2021-10-12,2
WA,2021-10-13,1
WA,2021-10-14,1
WA,2021-10-15,1
WA,2021-10-16,1
WA,2021-10-17,1
WA,2021-10-18,1
WA,2021-10-19,1
WA,2021-10-20,0
WA,2021-10-21,0
WA,2021-10-22,0
WA,2021-10-23,0
WA,2021-10-24,0
WA,2021-10-25,0
WA,2021-10-26,0
WA,2021-10-27,0
WA,2021-10-28,0
WA,2021-10-29,0
WA,2021-10-30,0
WA,2021-10-31,0
WA,2021-11-01,0
WA,2021-11-02,0
WA,2021-11-03,0
WA,2021-11-04,0
WA,2021-11-05,0
WA,2021-11-06,0
WA,2021-11-07,0
WA,2021-11-08,0
WA,2021-11-09,0
WA,2021-11-10,0
WA,2021-11-11,0
WA,2021-11-12,0
WA,2021-11-13,0
WA,2021-11-14,0
WA,2021-11-15,0
WA,2021-11-16,0
WA,2021-11-17,0
WA,2021-11-18,0
WA,2021-11-19,0
WA,2021-11-20,0
WA,2021-11-21,0
WA,2021-11-22,0
WA,2021-11-23,0
WA,2021-11-24,0
WA,2021-11-25,0
WA,2021-11-26,0
WA,2021-11-27,0
WA,2021-11-28,0
WA,2021-11-29,0
WA,2021-11-30,0
WA,2021-12-01,0
WA,2021-12-02,0
WA,2021-12-03,0
WA,2021-12-04,0
WA,2021-12-05,0
WA,2021-12-06,0
WA,2021-12-07,0
WA,2021-12-08,0
WA,2021-12-09,0
WA,2021-12-10,0
WA,2021-12-11,0
WA,2021-12-12,0
WA,2021-12-13,0
WA,2021-12-14,0
WA,2021-12-15,0
WA,2021-12-16,0
WA,2021-12-17,0
WA,2021-12-18,0
WA,2021-12-19,0
WA,2021-12-20,0
WA,2021-12-21,0
WA,2021-12-22,0
WA,2021-12-23,0
WA,2021-12-24,0
WA,2021-12-25,0
WA,2021-12-26,0
WA,2021-12-27,0
WA,2021-12-28,0
WA,2021-12-29,0
WA,2021-12-30,0
WA,2021-12-31,0
SA,2021-10-03,0
SA,2021-10-04,0
SA,2021-10-05,0
SA,2021-10-06,0
SA,2021-10-07,0
SA,2021-10-08,0
SA,2021-10-09,0
SA,2021-10-10,0
SA,2021-10-11,0
SA,2021-10-12,0
SA,2021-10-13,0
SA,2021-10-14,0
SA,2021-10-15,0
SA,2021-10-16,0
SA,2021-10-17,0
SA,2021-10-18,0
SA,2021-10-19,0
SA,2021-10-20,0
SA,2021-10-21,0
SA,2021-10-22,0
SA,2021-10-23,0
SA,2021-10-24,0
SA,2021-10-25,0
SA,2021-10-26,0
SA,2021-10-27,0
SA,2021-10-28,0
SA,2021-10-29,0
SA,2021-10-30,0
SA,2021-10-31,0
SA,2021-11-01,0
SA,2021-11-02,0
SA,2021-11-03,0
SA,2021-11-04,0
SA,2021-11-05,0
SA,2021-11-06,0
SA,2021-11-07,0
SA,2021-11-08,0
SA,2021-11-09,0
SA,2021-11-10,0
SA,2021-11-11,0
SA,2021-11-12,0
SA,2021-11-13,0
SA,2021-11-14,0
SA,2021-11-15,0
SA,2021-11-16,0
SA,2021-11-17,0
SA,2021-11-18,0
SA,2021-11-19,0
SA,2021-11-20,0
SA,2021-11-21,0
SA,2021-11-22,0
SA,2021-11-23,0
SA,2021-11-24,0
SA,2021-11-25,0
SA,2021-11-26,0
SA,2021-11-27,0
SA,2021-11-28,0
SA,2021-11-29,0
SA,2021-11-30,0
SA,2021-12-01,0
SA,2021-12-02,0
SA,2021-12-03,1
SA,2021-12-04,1
SA,2021-12-05,1
SA,2021-12-06,1
SA,2021-12-07,2
SA,2021-12-08,2
SA,2021-12-09,2
SA,2021-12-10,2
SA,2021-12-11,3
SA,2021-12-12,3
SA,2021-12-13,3
SA,2021-12-14,2
SA,2021-12-15,2
SA,2021-12-16,1
SA,2021-12-17,2
SA,2021-12-18,2
SA,2021-12-19,4
SA,2021-12-20,6
SA,2021-12-21,7
SA,2021-12-22,5
SA,2021-12-23,8
SA,2021-12-24,8
SA,2021-12-25,12
SA,2021-12-26,17
SA,2021-12-27,23
SA,2021-12-28,36
SA,2021-12-29,37
SA,2021-12-30,37
SA,2021-12-31,44
NT,2021-10-03,8
NT,2021-10-04,6
NT,2021-10-05,6
NT,2021-10-06,6
NT,2021-10-07,7
NT,2021-10-08,5
NT,2021-10-09,5
NT,2021-10-10,5
NT,2021-10-11,6
NT,2021-10-12,7
NT,2021-10-13,6
NT,2021-10-14,7
NT,2021-10-15,7
NT,2021-10-16,9
NT,2021-10-17,9
NT,2021-10-18,9
NT,2021-10-19,9
NT,2021-10-20,9
NT,2021-10-21,9
NT,2021-10-22,9
NT,2021-10-23,9
NT,2021-10-24,9
NT,2021-10-25,6
NT,2021-10-26,5
NT,2021-10-27,2
NT,2021-10-28,2
NT,2021-10-29,2
NT,2021-10-30,2
NT,2021-10-31,2
NT,2021-11-01,1
NT,2021-11-02,0
NT,2021-11-03,0
NT,2021-11-04,1
NT,2021-11-05,2
NT,2021-11-06,4
NT,2021-11-07,4
NT,2021-11-08,4
NT,2021-11-09,5
NT,2021-11-10,6
NT,2021-11-11,5
NT,2021-11-12,5
NT,2021-11-13,6
NT,2021-11-14,6
NT,2021-11-15,6
NT,2021-11-16,11
NT,2021-11-17,19
NT,2021-11-18,25
NT,2021-11-19,24
NT,2021-11-20,25
NT,2021-11-21,29
NT,2021-11-22,37
NT,2021-11-23,41
NT,2021-11-24,43
NT,2021-11-25,52
NT,2021-11-26,52
NT,2021-11-27,52
NT,2021-11-28,53
NT,2021-11-29,58
NT,2021-11-30,58
NT,2021-12-01,57
NT,2021-12-02,60
NT,2021-12-03,61
NT,2021-12-04,62
NT,2021-12-05,62
NT,2021-12-06,64
NT,2021-12-07,51
NT,2021-12-08,35
NT,2021-12-09,39
NT,2021-12-10,41
NT,2021-12-11,31
NT,2021-12-12,34
NT,2021-12-13,40
NT,2021-12-14,47
NT,2021-12-15,61
NT,2021-12-16,62
NT,2021-12-17,67
NT,2021-12-18,71
NT,2021-12-19,76
NT,2021-12-20,82
NT,2021-12-21,89
NT,2021-12-22,94
NT,2021-12-23,92
NT,2021-12-24,94
NT,2021-12-25,94
NT,2021-12-26,105
NT,2021-12-27,115
NT,2021-12-28,100
NT,2021-12-29,158
NT,2021-12-30,195
NT,2021-12-31,24
TAS,2021-10-03,0
TAS,2021-10-04,0
TAS,2021-10-05,0
TAS,2021-10-06,0
TAS,2021-10-07,0
TAS,2021-10-08,0
TAS,2021-10-09,0
TAS,2021-10-10,0
TAS,2021-10-11,0
TAS,2021-10-12,0
TAS,2021-10-13,0
TAS,2021-10-14,0
TAS,2021-10-15,0
TAS,2021-10-16,0
TAS,2021-10-17,0
TAS,2021-10-18,0
TAS,2021-10-19,0
TAS,2021-10-20,0
TAS,2021-10-21,0
TAS,2021-10-22,0
TAS,2021-10-23,0
TAS,2021-10-24,0
TAS,2021-10-25,0
TAS,2021-10-26,0
TAS,2021-10-27,0
TAS,2021-10-28,0
TAS,2021-10-29,0
TAS,2021-10-30,0
TAS,2021-10-31,0
TAS,2021-11-01,0
TAS,2021-11-02,0
TAS,2021-11-03,0
TAS,2021-11-04,0
TAS,2021-11-05,0
TAS,2021-11-06,0
TAS,2021-11-07,0
TAS,2021-11-08,0
TAS,2021-11-09,0
TAS,2021-11-10,0
TAS,2021-11-11,0
TAS,2021-11-12,0
TAS,2021-11-13,0
TAS,2021-11-14,0
TAS,2021-11-15,0
TAS,2021-11-16,0
TAS,2021-11-17,0
TAS,2021-11-18,0
TAS,2021-11-19,0
TAS,2021-11-20,0
TAS,2021-11-21,0
TAS,2021-11-22,0
TAS,2021-11-23,0
TAS,2021-11-24,0
TAS,2021-11-25,0
TAS,2021-11-26,0
TAS,2021-11-27,0
TAS,2021-11-28,0
TAS,2021-11-29,0
TAS,2021-11-30,0
TAS,2021-12-01,0
TAS,2021-12-02,0
TAS,2021-12-03,0
TAS,2021-12-04,0
TAS,2021-12-05,0
TAS,2021-12-06,0
TAS,2021-12-07,0
TAS,2021-12-08,0
TAS,2021-12-09,0
TAS,2021-12-10,0
TAS,2021-12-11,0
TAS,2021-12-12,0
TAS,2021-12-13,0
TAS,2021-12-14,0
TAS,2021-12-15,0
TAS,2021-12-16,0
TAS,2021-12-17,0
TAS,2021-12-18,0
TAS,2021-12-19,0
TAS,2021-12-20,0
TAS,2021-12-21,0
TAS,2021-12-22,0
TAS,2021-12-23,0
TAS,2021-12-24,0
TAS,2021-12-25,1
TAS,2021-12-26,0
TAS,2021-12-27,0
TAS,2021-12-28,0
TAS,2021-12-29,0
TAS,2021-12-30,0
TAS,2021-12-31,4
